Materials Code,Description,Unit,Rate(Rs),mat_sl
113021341,11 KV TOP ADAPTOR for PCC pole 9M long,NOS,478.12,200
113021441,11 KV TOP ADAPTOR for rail pole,NOS,523.41,201
113021541,33 KV TOP ADAPTOR for PCC pole 9M long,NOS,1288.10,202
113021641,33 KV TOP ADAPTOR for rail pole,NOS,807.35,203
407010241,LT MTR KIOSK 415V STLSHT COVR,NOS,15366.01,204
407010541,LT distribution KIOSK for 100KVA TRNF.,NOS,8878.41,205
407010641,LT DISTRIBUTION KIOSK FOR 25KVA TRNF.,NOS,9441.26,206
407010741,LT DISTRIBUTION KIOSK FOR 63KVA TRNF.,NOS,10456.61,207
407010841,LT DISTRIBUTION KIOSK FOR 315KVA TRNF.,NOS,17903.46,208
912011441,"TURN BUCKLE 18 X 5/8""",NOS,238.70,209
912013341,"TURN BUCKLE  18 x 3/4""",NOS,281.47,210
505011141,CLAMP P.G. - A.C.S.R. DOG,NOS,334.00,211
505010641,PG CLMP-WSL/RBT.( 30/50SMM),NOS,187.88,212
505031541,"D IRON CLAMP 3"" x 3.5""",NOS,47.83,213
505031641,UPPER CLAMP - L.T.BKT.50X6 FLAT(PCC POLE),NOS,108.78,214
505031741,LOWER CLAMP - L.T.BKT.50X6 FLAT(PCC POLE),NOS,110.58,215
505034941,CLAMP FOR 8M PCC POLE,NOS,190.00,216
505035041,CLAMP FOR 9M PCC POLE,NOS,214.38,217
505035141,CLAMP FOR 8M PCC POLE(BOT),NOS,210.00,218
505035241,CLAMP FOR 9M PCC POLE(BOT),NOS,249.76,219
506010331,SHACKLE STRAP BIG 185 X 30 X 3,PAA,45.38,220
506010531,"GI SHACKLE STRAP 9"" WITH NUT & BOLT",PAA,59.21,221
503020312,AL. BINDING WIRE 5MM/6SWG,KG,477.40,222
903013212,"AL BINDING TAPE - 1/4""",KG,529.58,223
903013545,"PLASTIC TAPE - NON ADHESIVE - 1""",ROL,30.00,224
508040641,CI REEL INSULATOR,NOS,44.16,225
508040341,"PORCELAIN SHACKLE INSULATOR 2"" X 21/2""",NOS,20.00,226
508040441,"PORCELAIN SHACKLE INSULATOR  3"" x 31/2""",NOS,23.34,227
508040841,PORCELAIN GUY INSULATOR HT,NOS,52.24,228
508040741,PORCELAIN GUY INSULATOR LT,NOS,21.11,229
504070341,LT SPACER - 1 PHASE 2 WIRE,NOS,35.51,230
504070641,LT SPACER - 2 PHASE 3 WIRE,NOS,59.08,231
504070441,LT SPACER - 3 PHASE 4 WIRE,NOS,77.62,232
504070541,LT SPACER - 3 PHASE 5 WIRE,NOS,94.79,233
504042641,11KV I/D HS Ter.Jnt.FOR3x95SMM XLPE CAB,NOS,5188.33,234
504043241,11KV I/D HS Ter.Jnt.FOR3x185SMM XLPE CAB,NOS,5833.67,235
504043841,11KV I/D HS Ter.Jnt.FOR3x300SMM XLPE CAB,NOS,7242.94,236
504042541,11KVO/D HS Ter.Jnt.FOR3x95SMM XLPE CAB,NOS,6863.10,237
504043141,11KVO/D HS Ter.Jnt.FOR3x185SMM XLPE CAB,NOS,8166.53,238
504043741,11KVO/D HS Ter.Jnt.FOR3x300SMM XLPE CAB,NOS,8963.63,239
504042741,11KV ST THR. HS JNT.FOR3x95SMM XLPE CAB,NOS,13095.63,240
504057941,11KVST.THR.TRANSITIONJnt.FOR3x185SMM CAB,NOS,16285.44,241
504043941,11KV ST THR. HS JNT.FOR3x300SMM XLPE CAB,NOS,17000.00,242
504047341,11KV ST THR. HS JNT.FOR3x400SMM XLPE CAB,NOS,17779.39,243
504045041,33KV I/D HS Ter.Jnt.FOR3x185SMM XLPE CAB,NOS,17099.22,244
504045641,33KV I/D HS Ter.Jnt.FOR3x300SMM XLPE CAB,NOS,18155.46,245
504045941,33KV I/D HS Ter.Jnt.FOR3x400SMM XLPE CAB,NOS,19392.95,246
504049741,33KVI/D HS Ter.Jnt.FOR1x1000SMM XLPE CAB,NOS,7096.74,247
504044941,33KVO/D HS Ter.Jnt.FOR3x185SMM XLPE CAB,NOS,19139.45,248
504045541,33KVO/D HS Ter.Jnt.FOR3x300SMM XLPE CAB,NOS,24604.72,249
504045841,33KVO/D HS Ter.Jnt.FOR3x400SMM XLPE CAB,NOS,26532.72,250
504049541,33KVO/D HS Ter.Jnt.FOR1x1000SMM XLPE CAB,NOS,8761.41,251
504045141,33KV ST THR. HS JNT.FOR3x185SMM XLPE CAB,NOS,40255.18,252
504045741,33KV ST THR. HS JNT.FOR3x300SMM XLPE CAB,NOS,41448.16,253
504046041,33KV ST THR. HS JNT.FOR3x400SMM XLPE CAB,NOS,42778.21,254
504049641,33KV ST THR.HS JNT.FOR1x1000SMM XLPE CAB,NOS,19713.16,255
504054141,1.1KV ST THR. JNT.FOR(4/3.5x50SMM),NOS,1586.81,256
504054341,1.1KV ST THR. JNT.FOR(4/3.5x95SMM),NOS,2605.14,257
504054441,1.1KV ST THR. JNT.FOR(4/3.5x120SMM),NOS,3370.25,258
504054541,1.1KV ST THR. JNT.FOR(4/3.5x185SMM),NOS,4202.60,259
504054641,1.1KV ST THR. JNT.FOR(4/3.5x240SMM),NOS,4307.69,260
504054741,1.1KV ST THR. JNT.FOR(4/3.5x300SMM),NOS,4322.33,261
504054841,1.1KV ST THR. JNT.FOR(4/3.5x400SMM),NOS,4500.00,262
504055141,1.1KV TEE JNT.FOR(4/3.5x50-25/16 SMM),NOS,4472.80,263
504055241,1.1KV TEE JNT.FOR(4/3.5x70-25/16 SMM),NOS,6709.20,264
504055341,1.1KV TEE JNT.FOR(4/3.5x95-25/16 SMM),NOS,7348.17,265
504023041,PAD-CON.FOR 11KV(1X95 SMM) ABC,NOS,486.77,266
504022941,WEDGE-CON.FOR 11KV(1X95 SMM) ABC,NOS,524.23,267
504053341,11KV I/D HS Ter.Jt.FOR(1x95SQ MM)ABC,NOS,1865.94,268
504053241,11KV O/D HS Ter.Jt.FOR(1x95SQ MM)ABC,NOS,2439.09,269
504053441,11KV ST THR. HS Jt.FOR(1x95SQ MM)ABC,NOS,5501.88,270
504038541,TEE JNT TAP OFF 11KV ABC TO DTR-1X95SMM,NOS,5214.50,271
504026841,INSULATION-PIERCING CONNECTOR (ABC) - 16SQ MM,NOS,86.10,272
504030341,PIERCING INSULATION STRAIGHT THROUGH JOINT (ABC) -16SQMM,NOS,126.30,273
504026941,INSULATION-PIERCING CONNECTOR (ABC) - 35-50SQ MM,NOS,95.09,274
504030741,PIERCING INSULATION STRAIGHT THROUGH JOINT (ABC) -35 SQMM N.WIRE,NOS,100.76,275
504026741,INSULATION-PIERCING CONNECTOR (ABC) - 50-70 SQ MM,NOS,117.42,276
504030841,PIERCING INSULATION STRAIGHT THROUGH JOINT (ABC) -50SQ MM N.WIRE,NOS,164.57,277
504030941,PIERCING INSULATION STRAIGHT THROUGH JOINT (ABC) -50SQ MM POWER CABLE,NOS,164.57,278
504031141,PIERCING INSULATION STRAIGHT THROUGH JOINT (ABC)-70 SQ MM POWER CABLE,NOS,182.53,279
504027041,INSULATION-PIERCING CONNECTOR (ABC) - 95SQ MM,NOS,108.00,280
504027141,INSULATION-PIERCING CONNECTOR  -ABC TO ABC TEE JOINT,NOS,149.17,281
504031241,PIERCING INSULATION STRAIGHT THROUGH JOINT (ABC) -CABLE END CAP,NOS,20.31,282
504027441,BI-METALLIC CRIMPING TYPE WATER PROOF LUG-16SMM ST LT(ABC),NOS,167.19,283
504027541,BI-METALLIC CRIMPING TYPE WATER PROOF LUG-35SMM MSNGR(ABC),NOS,179.32,284
504027741,BI-METALLIC CRIMPING TYPE WATER PROOF LUG-50SMM PWR(ABC),NOS,180.00,285
504027641,BI-METALLIC CRIMPING TYPE WATER PROOF LUG-50SMM MSNGR(ABC),NOS,195.09,286
504027841,BI-METALLIC CRIMPING TYPE WATER PROOF LUG-70SMM PWR(ABC),NOS,247.50,287
504060941,LTDISTBOX 3PH CON.WH ST.STRAP&BUCKLE-ABC,NOS,1489.90,288
504140641,CAB END CAP FOR DIFF.SIZE AB CABLE,NOS,17.21,289
504151441,CAB TIE WH ADJ.LOCKING ARRANGEMENT.,NOS,7.96,290
505036541,SUSP. CLMP HT ABC70-150SQMM MESENGER,NOS,156.62,291
505030641,SUSPENTION CLAMP WITH BRKT 35SQMM MESENGER,NOS,367.62,292
505030241,SUSPENTION CLAMP WITH BRKT 180SQMM MESENGER,NOS,416.03,293
505030341,ANCHORING CLAMP 180SQ.MM. : MESSENGER,NOS,449.46,294
505034141,DEAD END CLAMP-LT ABC(3X70+1X16+1X50SMM),NOS,389.66,295
505030841,EYE HOOK FOR ANCHOR & SUSPN. CLAMP,NOS,110.64,296
201050111,G.I. BARBED WIRE,MT,182529.23,297
910010241,CAUTION BOARD - 11KV,NOS,160.18,298
910011641,CAUTION BOARD - 400V,NOS,160.18,299
910012141,CAUTION BOARD - 33KV,NOS,160.18,300
